key,title,paper,category,tags,frequency,country,source_url,notes
rr2017,"Romer and Romer (2017) financial distress measure",rr2017,Crises,"financial-crises|narrative|distress-index|oecd|panel",semiannual,OECD,https://eml.berkeley.edu/~dromer/,"Semiannual financial-distress score (0-14, higher = more distress) for 30 OECD countries, 1967:1-2017:2 (author site's extension of the original 24-country 1967-2012 series through 2017 and 6 more countries). Long tibble: date, country, distress. Free to use with attribution to Romer and Romer (2017) AER and the 2019 BPEA extension paper."
hkm2017_quarterly,"He, Kelly and Manela (2017) intermediary capital ratio and risk factor (quarterly)",hkm2017,Financial conditions,"intermediary-asset-pricing|capital-ratio|risk-factor|leverage|us",quarterly,US,https://zhiguohe.net/data-and-empirical-patterns/,"Primary dealer intermediary capital ratio, capital risk factor, value-weighted investment return and squared leverage ratio, 1970Q1-. Maintained by Zhiguo He; snapshot of the 2025-06-27 update."
hkm2017_monthly,"He, Kelly and Manela (2017) intermediary capital ratio and risk factor (monthly)",hkm2017,Financial conditions,"intermediary-asset-pricing|capital-ratio|risk-factor|leverage|us",monthly,US,https://zhiguohe.net/data-and-empirical-patterns/,"Monthly counterpart of hkm2017_quarterly, 1970-01-. Snapshot of the 2025-06-27 update."
bw2006,"Baker and Wurgler (2006) investor sentiment index",bw2006,Asset prices,"investor-sentiment|behavioral-finance|stock-returns|us",monthly,US,https://pages.stern.nyu.edu/~jwurgler/,"SENT (sentiment index) and SENT_ORTH (orthogonalized to six macro indicators), the five underlying sentiment proxies (pdnd, ripo, nipo, cefd, s) and macro controls (indpro, consdur, consnon, consserv, recess, employ, cpi), 1958-01 to 2023-12. Column descriptions in variables.csv. Free to use; NYSE turnover was dropped as a sixth proxy in this maintained version. Snapshot updated 2024-05-31."
gwz2024_monthly,"Welch and Goyal (2008) / Goyal, Welch and Zafirov (2024) equity premium predictors (monthly)",gwz2024,Asset prices,"equity-premium|return-predictability|dividend-yield|valuation-ratios|us",monthly,US,https://sites.google.com/view/agoyal145,"57 predictor variables (price, dividends, earnings, yields, spreads, valuation ratios, sentiment and macro controls) used to predict the equity premium, 1871-01 to 2025-12. Column names and definitions in variables.csv. Free academic-use dataset maintained by Amit Goyal; snapshot of the 2024 update covering through 2025."
gwz2024_quarterly,"Welch and Goyal (2008) / Goyal, Welch and Zafirov (2024) equity premium predictors (quarterly)",gwz2024,Asset prices,"equity-premium|return-predictability|dividend-yield|valuation-ratios|us",quarterly,US,https://sites.google.com/view/agoyal145,"Quarterly counterpart of gwz2024_monthly, same 57 columns, 1871Q1-2025Q4. Column definitions: subset(variables, dataset == 'gwz2024_monthly')."
gwz2024_annual,"Welch and Goyal (2008) / Goyal, Welch and Zafirov (2024) equity premium predictors (annual)",gwz2024,Asset prices,"equity-premium|return-predictability|dividend-yield|valuation-ratios|us",annual,US,https://sites.google.com/view/agoyal145,"Annual counterpart of gwz2024_monthly, same 57 columns, 1871-2025. Column definitions: subset(variables, dataset == 'gwz2024_monthly')."
rr2009,"Reinhart and Rogoff public debt and growth panel (Herndon-Ash-Pollin 2014 replication columns)",rr2009,Crises,"public-debt|debt-gdp|growth|financial-crises|country-panel",annual,World,https://peri.umass.edu/publication/item/526-does-high-public-debt-consistently-stifle-economic-growth-a-critique-of-reinhart-and-rogoff,"Country-year panel (20 advanced economies, 1946-2009) with the public debt/GDP ratio, its category (0-30%, 30-60%, 60-90%, Above 90%) and real GDP growth, as used in Reinhart and Rogoff's 'This Time Is Different' work and reconstructed in Herndon, Ash and Pollin's (2014, Cambridge Journal of Economics) widely cited replication and critique. Downloaded from PERI's replication page (RR-keycolumns.xlsx), which the authors post for free reuse. The original Reinhart-Rogoff site (reinhartandrogoff.com, scholar.harvard.edu/rogoff) returned 403/blocked responses when checked; see todo-reports/finance.md."
rf2009,"Ramey and Francis (2009) a century of work and leisure",rf2009,Labour,"hours-of-work|time-use|leisure|home-production|long-run|us",annual,US,https://econweb.ucsd.edu/~vramey/research.html,"Long tibble (year, activity, sex, age_group, hours) reshaped from the four multi-header sheets (Work, School, Home Production, Leisure) of the authors' public data file, 1900-2005, US population by sex (male/female/all) and age group. The 'Lifetime Leisure' sheet (leisure by birth cohort) was not reshaped in this batch. Free to reuse with attribution; retrieved via the Internet Archive Wayback Machine, econweb.ucsd.edu/~vramey no longer serves this file directly."
fr2009,"Francis and Ramey (2009) hours per capita and technology shocks",fr2009,Business cycles,"technology-shocks|hours-worked|svar|long-run-restrictions|us",quarterly,US,https://econweb.ucsd.edu/~vramey/research.html,"Data for SVARs sheet, 1948Q1-2007Q4: total hours (Sprague), average weekly hours (unadjusted/demographically adjusted), efficiency hours (variable-weight and Tornqvist), noninstitutional population by age group, government/nonprofit/business hours, real GDP, business-sector output and the Fisher/log-difference labour-productivity and fed funds series (fisherdlp, dlp, ffr; missing before their sample starts). Column definitions in variables.csv. Free to reuse with attribution; retrieved via the Internet Archive Wayback Machine, econweb.ucsd.edu/~vramey no longer serves this file directly."
nr2020,"Nekarda and Ramey (2020) cyclical markups",nr2020,Business cycles,"markups|price-cost-margin|labour-share|new-keynesian|us",quarterly,US,https://econweb.ucsd.edu/~vramey/research.html,"Quarterly US price-cost markup measures 1947Q1-2017Q4 under alternative production-function and labour-share assumptions (business, nonfinancial business/corporate, Cobb-Douglas and CES specifications, with and without overhead labour and marginal-cost adjustments). Column names as in the replication file; see the paper's Section 2 for construction. Free to reuse with attribution; retrieved via the Internet Archive Wayback Machine, econweb.ucsd.edu/~vramey no longer serves this file directly."
